node_id,parent_id,action,depth,visits,total_reward_p_visits,Meth_State,init_el_price,init_pot_reward
1970007783168,,,0,100,32.65816833927321,3,0.15667,-2.4132702117422826
1967192814112,1970007783168,4,0,84,33.76523125319353,3,0.15667,-2.4132702117422826
1967192817232,1967192814112,3,0,2,31.29241072443168,3,0.15667,-2.4132702117422826
1967192944320,1967192817232,0,0,1,-2.324871678888889,3,0.15667,-2.4132702117422826
1967192816704,1967192814112,0,0,1,-2.4232993477777782,3,0.15667,-2.4132702117422826
1967192816080,1967192814112,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192942400,1967192814112,4,0,79,34.045367823795495,3,0.15667,-2.4132702117422826
1967192943360,1967192942400,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192948160,1967192942400,3,0,2,31.61643354819281,3,0.15667,-2.4132702117422826
1967192946432,1967192948160,0,0,1,-2.2332743144444445,3,0.15667,-2.4132702117422826
1967192946384,1967192942400,0,0,1,-2.3264610833333337,3,0.15667,-2.4132702117422826
1967192946864,1967192942400,4,0,74,34.31147029733101,3,0.15667,-2.4132702117422826
1967192947872,1967192946864,4,0,67,34.63890091718911,3,0.15667,-2.4132702117422826
1967192761216,1967192947872,0,0,1,-2.159372747777778,3,0.15667,-2.4132702117422826
1967192764096,1967192947872,4,0,15,37.81096950258581,3,0.15667,-2.4132702117422826
1967192766976,1967192764096,3,0,2,31.939678116704705,3,0.15667,-2.4132702117422826
1972468949888,1967192766976,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192767936,1967192764096,0,0,1,-2.0739245877777783,3,0.15667,-2.4132702117422826
1967192768176,1967192764096,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192766208,1967192764096,4,0,10,41.097055710692395,3,0.15667,-2.4132702117422826
1972468947968,1967192766208,4,0,5,50.86276966621087,3,0.15667,-2.4132702117422826
1972468952768,1972468947968,3,0,1,62.82163400401788,3,0.15667,-2.4132702117422826
1972468953728,1972468947968,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468956272,1972468947968,0,0,1,-1.8943506788888895,3,0.15667,-2.4132702117422826
1970968930112,1972468947968,4,0,1,97.14574331474343,3,0.15667,-2.4132702117422826
1972468948928,1967192766208,0,0,1,-1.9850460544444448,3,0.15667,-2.4132702117422826
1972468950848,1967192766208,3,0,2,31.674728847690155,3,0.15667,-2.4132702117422826
1972468954688,1972468950848,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468951808,1967192766208,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192765056,1967192947872,3,0,49,33.91834570328523,3,0.15667,-2.4132702117422826
1967192766160,1967192765056,3,0,17,34.87077576840094,3,0.15667,-2.4132702117422826
1972468955648,1967192766160,4,0,8,39.31061067941805,3,0.15667,-2.4132702117422826
1972468561616,1972468955648,0,0,1,-1.888043951111111,3,0.15667,-2.4132702117422826
1972468923840,1972468955648,4,0,2,47.86039147277085,3,0.15667,-2.4132702117422826
1972468924080,1972468923840,0,0,1,-1.8008254833333335,3,0.15667,-2.4132702117422826
1972468922064,1972468955648,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468923504,1972468955648,3,0,3,41.114502617720156,3,0.15667,-2.4132702117422826
1970968928192,1972468923504,3,0,1,62.32119248136482,3,0.15667,-2.4132702117422826
1970968929152,1972468923504,0,0,1,-1.7993186322222225,3,0.15667,-2.4132702117422826
1972468956608,1967192766160,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468954832,1967192766160,0,0,1,-1.9888115411111111,3,0.15667,-2.4132702117422826
1972468563392,1967192766160,3,0,6,36.06639828774399,3,0.15667,-2.4132702117422826
1972468920000,1972468563392,3,0,1,62.956710971781405,3,0.15667,-2.4132702117422826
1972468920960,1972468563392,4,0,2,45.975685368146266,3,0.15667,-2.4132702117422826
1972468922544,1972468920960,0,0,1,-1.8037157911111108,3,0.15667,-2.4132702117422826
1972468921920,1972468563392,0,0,1,-1.8958664433333332,3,0.15667,-2.4132702117422826
1972468922880,1972468563392,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192767600,1967192765056,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192766640,1967192765056,4,0,29,34.71875239766474,3,0.15667,-2.4132702117422826
1967192767264,1967192766640,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468956848,1967192766640,4,0,19,36.31799599907185,3,0.15667,-2.4132702117422826
1972468955936,1972468956848,4,0,12,39.32448341237199,3,0.15667,-2.4132702117422826
1972468558592,1972468955936,4,0,4,39.29785979619254,3,0.15667,-2.4132702117422826
1972468562720,1972468558592,3,0,1,61.01630565368296,3,0.15667,-2.4132702117422826
1972468561664,1972468558592,0,0,1,-1.729521678888889,3,0.15667,-2.4132702117422826
1972468919040,1972468558592,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468559552,1972468955936,0,0,1,-1.8021004944444448,3,0.15667,-2.4132702117422826
1972468560512,1972468955936,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468563104,1972468955936,3,0,5,43.83060178399429,3,0.15667,-2.4132702117422826
1972468915200,1972468563104,4,0,1,97.53179316159034,3,0.15667,-2.4132702117422826
1972468916160,1972468563104,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468917120,1972468563104,3,0,1,61.04064215739234,3,0.15667,-2.4132702117422826
1972468918080,1972468563104,0,0,1,-1.7162823766666668,3,0.15667,-2.4132702117422826
1972468954880,1972468956848,3,0,4,30.83587696329012,3,0.15667,-2.4132702117422826
1972468561472,1972468954880,3,0,1,62.32119248136482,3,0.15667,-2.4132702117422826
1972468562432,1972468954880,0,0,1,-1.7993186322222225,3,0.15667,-2.4132702117422826
1972468923552,1972468954880,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468554752,1972468956848,0,0,1,-1.8848796944444444,3,0.15667,-2.4132702117422826
1972468556672,1972468956848,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468955312,1967192766640,0,0,1,-1.974283126666667,3,0.15667,-2.4132702117422826
1972468956320,1967192766640,3,0,7,31.766584639438296,3,0.15667,-2.4132702117422826
1972468555712,1972468956320,3,0,2,31.42450808636363,3,0.15667,-2.4132702117422826
1972468923168,1972468555712,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468557632,1972468956320,0,0,1,-1.883428796666667,3,0.15667,-2.4132702117422826
1972468563056,1972468956320,4,0,2,49.025523702313585,3,0.15667,-2.4132702117422826
1972468562096,1972468563056,1,0,1,0.0,3,0.15667,-2.4132702117422826
1972468563632,1972468956320,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192767648,1967192765056,0,0,1,-2.0572340988888893,3,0.15667,-2.4132702117422826
1967192766016,1967192947872,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192947488,1967192946864,0,0,1,-2.2362513755555558,3,0.15667,-2.4132702117422826
1967192759296,1967192946864,3,0,4,31.807410399626104,3,0.15667,-2.4132702117422826
1967192762176,1967192759296,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192815744,1967192759296,3,0,1,64.4372727151479,3,0.15667,-2.4132702117422826
1970968927232,1967192759296,0,0,1,-2.1453453544444447,3,0.15667,-2.4132702117422826
1967192760256,1967192946864,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192815120,1970007783168,0,0,1,-2.512009523333333,3,0.15667,-2.4132702117422826
1967192816128,1970007783168,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192817088,1970007783168,3,0,14,30.860672727314142,3,0.15667,-2.4132702117422826
1967192816752,1967192817088,3,0,2,31.306119343992094,3,0.15667,-2.4132702117422826
1967192941440,1967192816752,0,0,1,-2.338667535555556,3,0.15667,-2.4132702117422826
1967192817616,1967192817088,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192817280,1967192817088,4,0,9,34.16481124869468,3,0.15667,-2.4132702117422826
1967192939520,1967192817280,3,0,3,42.73285566152088,3,0.15667,-2.4132702117422826
1967192947824,1967192939520,3,0,1,64.96569988817701,3,0.15667,-2.4132702117422826
1967192948400,1967192939520,0,0,1,-2.2332743144444445,3,0.15667,-2.4132702117422826
1967192940480,1967192817280,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192945280,1967192817280,4,0,3,30.39479419582429,3,0.15667,-2.4132702117422826
1967192947200,1967192945280,0,0,1,-2.234822831111112,3,0.15667,-2.4132702117422826
1967192763136,1967192945280,1,0,1,0.0,3,0.15667,-2.4132702117422826
1967192946240,1967192817280,0,0,1,-2.3299861511111106,3,0.15667,-2.4132702117422826
1967192813200,1967192817088,0,0,1,-2.4390744000000004,3,0.15667,-2.4132702117422826
